,tweet_id,retweet_count,favorite_count
390,823581115634085888,2433,12222
391,823333489516937216,22,662
392,823322678127919110,3708,14777
393,823269594223824897,9186,0
394,822975315408461824,3190,16327
395,822872901745569793,39779,123717
396,822859134160621569,2106,12416
397,822647212903690241,5936,0
398,822610361945911296,2722,13930
399,822489057087389700,5936,17064
400,822462944365645825,13086,26212
401,822244816520155136,9186,33012
402,822163064745328640,4356,0
403,821886076407029760,2132,10647
404,821813639212650496,3115,0
405,821765923262631936,1555,7889
406,821522889702862852,1626,7547
407,821421320206483457,5112,0
408,821407182352777218,3979,11070
409,821153421864615936,9,236
410,821149554670182400,1820,8087
411,821107785811234820,1967,9033
412,821044531881721856,2116,11912
413,820837357901512704,6216,0
414,820749716845686786,9159,29731
415,820690176645140481,2992,11558
416,820494788566847489,521,0
417,820446719150292993,2383,0
418,820314633777061888,521,3152
419,820078625395449857,5763,18579
420,820013781606658049,1079,0
421,819952236453363712,1079,5007
422,819924195358416896,4529,12198
423,819711362133872643,2859,12565
424,819588359383371776,1865,9129
425,819347104292290561,1115,6812
426,819238181065359361,379,2133
427,819227688460238848,6216,21738
428,819015337530290176,34434,0
429,819015331746349057,17732,0
430,819006400881917954,17732,42894
431,819004803107983360,34434,82426
432,818646164899774465,19367,0
433,818627210458333184,7037,21165
434,818614493328580609,2346,9274
435,818588835076603904,5669,0
436,818536468981415936,2264,10245
437,818307523543449600,7423,0
438,818259473185828864,2073,10387
439,818145370475810820,2361,11587
440,817908911860748288,739,4595
441,817827839487737858,25024,48451
442,817777686764523521,2513,10197
443,817536400337801217,2720,11083
444,817502432452313088,3131,0
445,817423860136083457,13531,31740
446,817415592588222464,885,5284
447,817181837579653120,7834,0
448,817171292965273600,1857,8285
449,817120970343411712,2405,11508
450,817056546584727552,1510,8107
451,816829038950027264,4372,0
452,816816676327063552,1886,9450
453,816697700272001025,2047,9213
454,816450570814898180,7423,28580
455,816336735214911488,1795,8149
456,816091915477250048,1979,8462
457,816062466425819140,942,0
458,816014286006976512,4862,0
459,815990720817401858,942,4678
460,815966073409433600,7834,21066
461,815745968457060357,3841,0
462,815736392542261248,2109,9278
463,815639385530101762,1547,7800
464,815390420867969024,3553,9796
465,814986499976527872,1183,7241
466,814638523311648768,2516,10666
467,814578408554463233,5438,0
468,814530161257443328,1734,8195
469,814153002265309185,8081,27170
470,813944609378369540,2944,0
471,813910438903693312,1725,8831
472,813812741911748608,12991,34521
473,813800681631023104,1640,7865
474,813217897535406080,6825,17625
475,813202720496779264,1700,8744
476,813187593374461952,4032,18760
477,813172488309972993,1803,8778
478,813157409116065792,2059,7358
479,813142292504645637,2237,8059
480,813130366689148928,418,4253
481,813127251579564032,2913,11177
482,813112105746448384,2555,9771
483,813096984823349248,3371,10005
484,813081950185472002,2586,9402
485,813066809284972545,1821,7527
486,813051746834595840,6818,19873
487,812781120811126785,1784,7127
488,812709060537683968,1348,6276
489,812503143955202048,1147,5725
490,812466873996607488,1796,7549
491,812372279581671427,3413,12894
492,811985624773361665,1304,6891
493,811744202451197953,1468,7135
494,811647686436880384,680,5300
495,811627233043480576,2838,12035
496,811386762094317568,5958,19800
497,810984652412424192,1326,5041
498,810896069567610880,1638,8506
499,810657578271330305,2460,10401
500,810284430598270976,10464,33205
501,810254108431155201,3150,13932
502,809920764300447744,3671,14741
503,809808892968534016,4557,0
504,809448704142938112,1362,6591
505,809220051211603969,5227,18819
506,809084759137812480,3284,12524
507,808838249661788160,2857,9620
508,808733504066486276,2029,7472
509,808501579447930884,2452,10726
510,808344865868283904,19367,40056
511,808134635716833280,5492,0
512,808106460588765185,2062,8368
513,808001312164028416,3296,11808
514,807621403335917568,3374,13807
515,807106840509214720,51452,111238
516,807059379405148160,6864,0
517,807010152071229440,3616,12431
518,806629075125202948,32236,70336
519,806620845233815552,5124,0
520,806576416489959424,1818,4647
521,806542213899489280,2211,9708
522,806242860592926720,10837,0
523,806219024703037440,1130,6117
524,805958939288408065,4995,0
525,805932879469572096,1795,7857
526,805826884734976000,1710,6220
527,805823200554876929,7434,0
528,805520635690676224,1547,5465
529,805487436403003392,2370,8321
530,805207613751304193,1623,7459
531,804738756058218496,3590,12941
532,804475857670639616,1885,5823
533,804413760345620481,2999,0
534,804026241225523202,14981,41925
535,803773340896923648,2579,9518
536,803692223237865472,6901,0
537,803638050916102144,3872,10348
538,803380650405482500,1763,7368
539,803321560782307329,4938,0
540,803276597545603072,2289,9511
541,802952499103731712,1865,8556
542,802624713319034886,2715,0
543,802600418706604034,1377,6747
544,802572683846291456,2348,8492
545,802323869084381190,5455,15301
546,802265048156610565,1288,6603
547,802239329049477120,2450,8628
548,802185808107208704,250,0
549,801958328846974976,1592,7350
550,801854953262350336,218,1720
551,801538201127157760,1946,7796
552,801285448605831168,770,5722
553,801167903437357056,5492,23105
554,801127390143516673,3691,0
555,801115127852503040,1982,7662
556,800859414831898624,90,645
557,800855607700029440,1511,0
558,800751577355128832,2617,10066
559,800513324630806528,2816,12459
560,800459316964663297,2054,9018
561,800443802682937345,4010,0
562,800388270626521089,2629,10574
563,800188575492947969,3680,0
564,800141422401830912,2383,14475
565,800018252395122689,12260,26812
566,799774291445383169,4351,0
567,799757965289017345,1998,7946
568,799422933579902976,1792,7669
569,799308762079035393,5059,0
570,799297110730567681,2550,9362
571,799063482566066176,2334,7675
572,798933969379225600,4143,12390
573,798925684722855936,1355,7148
574,798705661114773508,6187,0
575,798701998996647937,7210,0
576,798697898615730177,6073,0
577,798694562394996736,4627,0
578,798686750113755136,2172,0
579,798682547630837760,4417,0
580,798673117451325440,5203,0
581,798665375516884993,3667,0
582,798644042770751489,1737,0
583,798628517273620480,1856,0
584,798585098161549313,5252,0
585,798576900688019456,5457,0
